	author	comment
1491	Алиса Neverland	Brick in the wall... BREAKING THE WALL! (It seems to me that this is an allusion to ... one wall)))
1492	Chad Chambliss	Song makes me want pudding.
1493	RANDOM AWARENESS	❤️
1494	Fernando González	Música de mí infancia!!!😭🔥
1495	Holly Warehouse	Shit. Memories. So many
1496	Soso Names	"""money gets back, im alright jack, keep your hands off my stack new car , caviar, four star daydream i think ill buy me a football team "" sounds like a rap ryme 🤣"
1497	Palu	I love Pink Flyod so much. Such a shame that most of my peers dont share this love. All they do is listening to Billie Eilish and BTS.
1498	💚ET	💚🙏
1499	Sooner Science Nerd	this song was just on a second ago. i never saw the video... this song applies to school NOW...
1500	👊🏻 WWE MARIO CHISAGUANO!	🌎 Sudamérica mano arriba 🙋🏻
1501	eisenherzification	Unvergessen 1980 beim Hausaufgaben machen aus dem Transistor Radio- eine Hymne des Protests !!!!
1502	GRAZIA PISICCHIO	"Grazie , grazie Andrea che ascolti questa musica in silenzio e quelle immagini credo che ti facciano ricordare dei momenti non lieti della vita...Qualche volta ti sarai chiesto perché il Signore non interviene a questi massacri , forse la vita , finisce così. Nasci , muori e quel poco che ci rimane ci beviamo sopra , ci prendiamo qualche cosa per stare svegli e cambiamo partner e quando a nostro piacimento ci meravigliamo se quella donna o quell ' uomo non si interessa a noi....Se siamo troppo a connessione , non vediamo. Il meraviglioso cambiamento del sole che non eta come quando ero bambina...esso appariva per poco e poi scompariva con freddo che ghiacciava le strade e le pozzangole. fino al rientro a scuola...Dentro di noi abbiamo sia conscio che inconscio la voglia di sentirsi i Primi o gli Ultimi...e i secondi , rispecchiano come nel Golgota il nostro Gesù...E noi , andiamo avanti e speriamo che qualcosa cambi..anche i nostri fratelli Maggiori ora stanno un po"" a guardare , hanno un po' paura di aver preso in mano il mondo...ora tocca a noi soffrire .....Quanti galli a cantare e le galline hanno ripreso a fare le uova , e nascono i pulcini e vogliamo. farli stare sotto le ali della chioccia per farli stare ancora un po' a godere del loro diritto di essere ospiti di questo pianeta ancora a noi sconosciuto...Grazie Andrea , e liberati da false tentazioni di puntare il dito....anche Gesù è ststo tentato nel deserto e ci invita con la preghiera di donargli la nostra fiducia e saremo salvi al riparo delle sue Ali....grazie di esistere 4 dicembre 2021...grazia P."
1503	Naz Usmani	Story of my life
1504	Magic Sequencer	Pink Floyd is a legendary band. This is eternal music. I love you.
1505	AXEL ANDREY VELEZ ARIAS	Estos manes muy locos hacer Este video en Los años 80's. Asperos!
1506	Nandoz	🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷
1507	The guy	that teacher was hilarious..took me 25 years to realise it
1508	Benefer	Es hora de la revolución estudiantil, no más adoctrinamiento, enseñen a sus hijos a saber cuestionar y a pensar por ellos mismos.
1509	ZombiBoy 911	I can really understand where the 60's generation is coming from with this song, they're whips their cynical stern sarcastic derision and derivitve so ya the only thing keeping me from inventing a time machine and going back to grow up with all the rugrats and baby boomer is the school system 🥴🤪🤯
1510	Glenn	welcome to the future, where everyone wants to live in the past.
1511	Rosijosi So cool	We’ve been talking about this song for 3 days in honors English- I like my teacher
1512	Tony Lai	3:58 they ain’t going in the shredder they used a trampoline on botton
1513	85stumpen	Those creepy mask reminds me of the people on the little nightmare games
1514	Utku Crow	Kendi öğretmenim benim üniformam ise kapüşonum berem... my own teacher my uniform my hoodie...
1515	Michael Parks	👍
1516	Magnus Guglius Vuglius	Hey! This school has masks mandates. How prophetic.
1517	Krakentoast	Why does it remind me so heavy of the DDR?
1518	Elena Ester	💜💙💚💛💜💙💚
1519	Nin Kyok	Woa!!!!
1520	Иваныч	На нашу любимую, Украину похоже!!!
1521	Crom Murdoch	"I dare any good and smart musician to do a remake of this epic song for the present even crazier world. Lyrics: ""We don't need no vaccination. We don't need no forced mandates. ... Bill Gates leave the kids alone. ... All you want is just another sheep in the herd."""
1522	Gustavo Guzz #BBMP	deixa os garoto brincar > leave the kids alone
1523	Diana Wolf	Another Brick in the Wall
1524	ApolloCat	roy: we dont need no educationnnn moss: yes you do, you have just used a double negative
1525	Leonora Johnson	🇧🇷 muito bom 👍 pink Floyd 🐽
1526	Koech	July 2021, still a masterpiece!
1527	Paweł Zieliński	Every fan of Pink Flpyd must comment this video: https://www.youtube.com/watch?v=Jmre_1BreZw
1528	EricLV2020	All in all, it's just another.... jab in the arm...
1529	Jay Lee	But in (but in) the town it was well known, Но в городке все знали, что When they got home at night, Когда они под вечер возвращались домой, Their fat and psychopathic wives would thrash them, Толстые жёны-психопатки пилили их, Within inches of their lives.
1530	Kresty Grips	"The ""hidden"" meaning of this video clip is ........AMAZING!! There are no words for this song and this video clip!! 👍👍👍"
1531	Капитан Веселье	Shit... This was more like personal drama than actual political protest all these years and I didn't see it.
1532	maria doroteia	Que banda magnífica Pink Floyd
1533	tha paranormlist	I got kind of scared of this video when I was a little kid
1534	Mateo Kamberi	Listened this after a long time . Old but gold.
1535	simon	Day 21 listening to Pink Floyd everyday for 1 year. Yes I'm still listening STILL
1536	Michael Parks	+1👍
1537	Fletzy productions	2:21 he owes me education made of kneading arrows bus control (subtitles)
1538	Michael Parks	Just: yes.
1539	Mustafa Bekir	I posted this video to my Facebook account and the company blocked my actions for 2 days because the video has child abusement
1540	Cxsmeticzz 父	How could 77 thousand people dislike a song like this it’s a masterpiece, PF are gods ;)
1541	Евгения Вовниченко	Our reality 2021
1542	Charlotte Bulmer	This song is sooooooo relevant right now!!!! LEAVE OUR KIDS ALONE!!!!! #youhaveallbeenliedto #protectyourchildren #donottakethedeathjab #yourgovernmentdonotcareforyou
1543	Karen Bittner	Authoritarianism! Teachers & parents! Another brick in the wall.
1544	Ma Bul	Guys in finalcut album. Unsure the track. Watching war on the tv!
1545	Duane Brussow	This song im gana sing when im do school
1546	Matheus Furtado	Algum BR ?
1547	Werner Bro	"Please god make a remix of this.. ""hey pfizer! Leave them kids alone""!.. We dont need no vaccination... We dont need no pass controll!!"
1548	Joao Vitor	Essa música me lembra de um tiozinho famoso aqui no Brasil que canta assa música toda doida kkkk. Esqueci o nome dele .
1549	laura	Pink Floyd is a clever guy..
1550	Klara Bellet	A Fekette vónat...octobre 1978...klàra bellet...🌈
1551	💚ET	Aufwachen 💚
1552	bruna gomes	i watched this at the school wtf
1553	Realm of Ends	This is a pure masterpiece. And today we are making garbage except a few.
1554	Harsh Haridas	CBSE: *shivers in fear*
1555	A	same face same thought same education Is this true?
1556	Игорь ЮТА	Это вечно прекрасно!!!!!!!!!!!!!!!
1557	👊🏻 WWE MARIO CHISAGUANO!	☝🏻 PRIMERO 🇪🇨
1558	François Bellemare	oui très actuelle comme video .....à brick in the wall or a break in the wall ...like the one of the virus ... which acted as a break in our foll word !
1559	Sandra Bautista	Hola, yo vine a ver los gustos de Luke Howland<333
1560	Júlio Mário	Amoooooooo !!!!!!
1561	Grain de sable	An illustration of the COVID theater at school
1562	Laysa Lopes	Sem embromation
1563	Николай Давыдов	Е----бать прям гари потер.
1564	Richard Martinez	Prediction of today's society
1565	Nacho Gato	One question, ¿There is still violence Teacher - Student?
1566	Kraken	11 years later and still listening to a legendary song!!!
1567	Jose Orlando Diaz	RIP Alan Parker. Te perdono Evita, despuès de algunas grandes películas y esta obra maestra.
1568	Bret Hitchcock	LETS GO BRANDON
1569	andrea carlo marsigli	Altra categoria
1570	Pámoemu!	Было, но это ещё.
1571	marquiños 👻	Alguien de 2025??
1572	WHO AM I ???	I endorse
1573	Sasan Dabirian	obviously, they wanted education... they used double negative!!! NOW GET BACK TO YOUR CLASS LADDIE!!! lol
1574	Rithul C	Who’s watching it in 2022
1575	Lili ö	Essa música que vou cantar na apresentação de inglês ❤☻
1576	Ó Sinixtro	Macabro até a raiz do cabelo mais muito foda também adorooooo rock ❤😨
1577	Cristina Silva	George Orwell 1984😶
1578	Zoran Bajic	The best video spot,music,ambient and masterpiece for all time in r'n'r history-pink floyd is the tron of music!
1579	Ely Krupinski	Even with this big and popular of a message it doesn’t change
1580	Jéssica Helaine	Nostalgia ❤
1581	Cheeseburger Superior	The California schooling system.
1582	Ivan Lauermann	Onde estão os brasileiros descentes que curtem música boa
1583	EpicChiliBeanBomb	"""We don't need no education"" -Me, in 2021 right now"
1584	EnJoyce	I've always loved this song!
1585	LYN LOVES JESUS	They knew !! Look at school now December 2021.
1586	K Sevntyfour	I'm listening to this while doing homework. :,D A girl can dream.
1587	Kaike Maciel	We are here too, don't worry :D
1588	BaumfaellerFred	Anyone else here cause this is a damn good song?
1589	Pers852	2:20 ваксеры лютуют
1590	A	This song was created some decades ago, still relevant to new education system. Nothing has changed. Where is humanity going. Why are we so blind to see the truth. Edited: not only in education system but almost every aspect of our life is going to be controlled by something unless we are awaked. Take back our consciousness is the only solution 🙏❤.
1591	Connie Peasley	This song was to early for its time, it's the present happening in front of us this very day, God bless and protect our children!!!!
1592	Elena Watts’s 	Watts is 🌸🌸🌚
1593	Vito Corleone	I remember 9 yrs ago in 6th grade the teacher put the radio on and this played. Everyone went nuts
1594	Rui Manuel Carvalho Paulo	God
1595	jane Doe	This song speaks to my soul... There is nothing else to say... Except... I have had horrible teachers my whole life and just the worst school experiences. I was never bullied though because I could always stand up for myself and I was always friends with everyone (even the bullies) and I stopped them from bullying the rest of my friends... But of course some kids I just couldn't be friends with because they were just awful and rude and apathetic... And I just couldn't be friends with them. And I despise almost every teacher I have ever had. But, there were a couple who were good but they are the 1% to the rest of my 99% of horrible and awful teachers.... Sorry for filling up your screen lol and I hope you all have the best scholastic and academic experiences possible.... Thankyou and goodnight!!!! 😋😤😭😖😢🙃😜😎😀🤗
1596	Андрей Клеймихин	Кто русский язык знает?
1597	claire c	And to realize that the meaning of this song is still completely relevant in today’s society... 😕
1598	Dr WoDo	works today..just another ..
1599	Eduard Android Android	Música de verdad
1600	Señoritas Top's	I remember my father with this song, it is his favorite and of course mine
1601	Marina Nonina	Вспомним молодость!))))
1602	Madison	Classic!! Perfect for this day and time. If we are not careful, we will all be another brick in the wall. It is time to wake up.
1603	M Chambers	I've loved this song since I was 12. I'm 53 now. It opens my mind and my heart. Pink Floyd forever!!!
1604	Mićo Marinković	Slušao bar par hiljada puta i ne odustajem!
1605	Jim	This song is even more relevant today than when it was released but just in a different way.
1606	Eduardo Dos santos cruz junior	Essa música é um clássico, esse coral de crianças é fantástico, musicas de verdade não se fazem mais nos dias de hoje o mundo está perdendo a essência das música!
1607	Death Otakü	Amo essa música!!
1608	Adesor Cuppy	This song is still a classic! So unappreciated by the kids of today, not so by their teachers lol
1609	ekirky2	Pink Floyd can be generally disturbing sometimes, but it's still so good
1610	Aelly	Masterpiece always remain masterpiece 🖤
1611	Beatriz Reyes	TEMAZO❤❤❤❤
1612	Fake Virus	The upper boundary of what Is capable with a musical instrument. This song is a legendary masterpiece and will be for the rest of time.
1613	Людмила Коршунова	Нет слов... Одни эмоции!!! There are no words... Some emotions!!!
1614	Aggelos Dimos	Best of Pink Floyd!!!
1615	JS GAM3R™	Essa Música passa uma mensagem foda!
1616	naturalroyalflush	For me, this is symbolic of the world today. No longer confined to children, the tyrants are loose. The end scenes will be the result and it won’t just be children. That day moves ever closer.
1617	Kaio	Sensacional demais
1618	Kiran Gopalakrishnan	Always love pink floyd & comfortbly numb is my all time favourite ❤
1619	un·of·fi·cial-rights	one of the 1st songs i listen to when I reported to the Ship. oh man that's the music suited for such event. 'the Dark side of the moon' is one of my favorite. 👍
1620	iris rivera	Love it!!!
1621	Estevan Paziam	Isso n é uma Música é um HINO!
1622	Fernanda Bastos	Aqui no Brasil em pleno novembro de2021 amando e chorando
1623	crzistal	Pleno 2021 eu escutando a minha música preferida antiga.... Amooo❤
1624	Thelonious Coltrane	The legend that is Pink Floyd! Salute 👍
1625	Brandon Tapp	Last 2 minutes... Nothing but goosebumps
1626	Alan Piedra	This Legendary Song Is A True Hymn For Those Of US Who Suffer Abuse At School.🤘🤘🤘
1627	PedroGame Play	Muito boa 😍
1628	Gabriela Garcia	¡Pink Floyd! uffff y sus rolones
1629	Pete	a song that is 50 years ahead of its time , will be sung by people in 30 years
1630	xavier prevost	My preferred song for 40 years, for several reasons, I think about playing it when my daughter raise 6th grade
1631	simon	Day 165 listening to Pink floyd everyday for 1 year.
1632	Joy Vortex	This song just popped up in my head so I had to search for it 😂and listen 👽
1633	Dariusz Budych	Młodość wspomnienia wszystko lubię
1634	Dariusz Budych	Świetne.To jest muza
1635	Rj Pender	Pure genius
1636	Samir Soi	AHEAD OF TIME MUSIC 🙏🙏🙏 RESPECT FOR MAGICIANS. MUST HAVE INSPIRED MILLIONS SORRY BILLIONS ON THIS PLANET.
1637	Василий Попов	Сегодня 42 года со дня выхода их последнего альбома! фильм посмотрю обязательно сегодня!
1638	IN FLUENCER	*_...of philosophical and sociological, as well as psychological importance in EVERY and EACH ERA._* ... _I cannot remember clearly now any more,_ *but I think Pink Floyd performed this song at the day of reunification of Germany in Berlin,* after the Berlin Wall fell... For sure, this was a very big thing in my history. Phil Collins performed at Alexanderplatz as well.
1639	Peter Vlčko	everybody who understand british history and how industrial revolution shaped it should understand this song. it absolutely shows how school system just serve the purpose of feeding it by skilled work force. there is no freedom of thoughts. on top of it are british well known for their policies which should be followed everywhere in everyday life. no doubts why some cool kids develop hostility against this happy and save mainstream culture and started punk movement in uk and not in other part of the world.
1640	Johnny B	The best band ever for me 👍😎
1641	Nita Clark	Super group. I still listen the the oldies..never going to stop
1642	Ingrid	I'm listening to it in November 2021 for me even though I'm 12 years old I love songs from the 70's 80's and 90's for me funk is no good many think it's weird because many children my age and Less like funk but I don't
1643	s.a.f.r.	Obra maestra
1644	100% Bolsonaro	Época boa que ficou na história. Música da minha juventude
1645	XGAMERX	Cadê os brasileiros que ama essa música?
1646	weiling☆	In my heart forever🤘💗
1647	Anita Gassmann	Pink Floyd kann man immer hören. Ich höre sie seit 50 Jahren und es wird nie langweilig.
1648	simon	Day 160 listening to Pink floyd everyday for 1 year.
1649	MOIA THE EXPLORER	It's November 19, let's see how many legends are here listening to this beautiful masterpiece...
1650	SODA0679	Recuerdos dde mi escuela ME PASO ALGO SIMILAR A LO DE ESTA OBRA SIEMPRE SOBRESALI A PESAR DE LOS OBSTACULOS
1651	augusto rodrigues	Foi uma loucura belos tempos
1652	milulubb	I remember seeing this as a very little girl. It made me really scared especially the scene where the kids were thrown into the grinder. 😭😭
1653	Charlie...!✌	Exelent Music...!✌
1654	Алексей Сазанов	Очень актуально ! Very relevant !
1655	Ron Hayden	Who would of thought history could repeat itself..
1656	Holly Jones	November 2021 and listening to this masterpiece.
1657	diego armando giraldo lopez	MAXIMO .BACANISIMO TEMA REMENBRANSAS DE MI JUVENTUD
1658	simon	Day 164 listening to Pink floyd everyday for 1 year.
1659	Mikhael Bykwe	Минимум спецэффектов, шедевр!
1660	simon	Day 169 listening to Pink floyd everyday for 1 year.
1661	simon	Day 168 listening to Pink floyd everyday for 1 year.
1662	MOIA THE EXPLORER	It's November 17, let's see how many legends are here listening to this beautiful masterpiece.
1663	Ruben Borjas Jr	This song has more meaning today, with the indoctrination being taught in our schools, than ever before.
1664	simon	Day 162 listening to Pink floyd everyday for 1 year
1665	Sleeps	My dad showed me this and said that if I don’t do well in school then he would send me to this school… My grades went up after that
1666	MOIA THE EXPLORER	It's November 20, let's see how many legends are here listening to this beautiful masterpiece...
1667	MOIA THE EXPLORER	"""It's November 24, let's see how many legends are here listening to this beautiful masterpiece""."
1668	PULL up on you WACKS with a MAC fully loaded AH	my middle school math teacher used to play this in class while we did some exercises in class. She doesn't know english so she never knew the meaning of the song lmao
1669	Vanessa Silva	Cadê os brasileiros🖤🤘🇧🇷
1670	Daniel Brown	This is one of Gilmore’s best lead breaks, IMO. That typical late 50’s/early 60’s Strat sound is iconic 🎸💜🤘
1671	ELVIS-TECK!!!!	espero no ser el unico que cuando estaba pequeño y miraba el video le daba miedo jaja
1672	simon	Day 163 listening to Pink floyd everyday for 1 year.
1673	simon	Day 167 listening to Pink floyd everyday for 1 year.
1674	João Vitor	"Quem mais veio pela magia do boteco ""another breja in the bar""?"
1675	Russell Flynn	Sic as it will ever be and Thanks A BUNCH GUYS X
1676	1m inscritos sem nenhum video	Legend
1677	simon	Day 166 listening to Pink floyd everyday for 1 year.
1678	ШаГаНуКа	I like this song
1679	simon	Day 161 listening to Pink floyd everyday for 1 year
1680	babuchungas	every high schoolers loves this song and values it
1681	petergorm	This is so mind-blowing. I watched it back then, but it still rocks in 2020!
1682	CrouchingTurtle	"Serious reunion idea for touring! Place a literal Wall on the stage between Roger and the rest of the band. It would have many different meanings and solve many different issues. And they'd make a billion dollars on their last tour ""together""!"
1683	Иван Иванов	когда я был подростком: - да, мы не кирпичи в стене, к черту учителя, мы свободные личности! сейчас я отец двоих детей: - надо бы учителю с ними построже, а то много отвлекаются, бездельничают.
1684	Botingtons	Best song
1685	Stef.en. gris	So, as people who listened to this song as youths reach retirement age, how do you feel about your career and education... really. Did you not need no ek'kucation? truely.
1686	Ema figueroa	mi mejor regalo de cumpleaños
1687	Женя Бавыкин	There are many people who listen pink floyd from another countries. I am from Russia and i love pink floyd too.
1688	studio 2	There's an irony here, if Gilmour hadnt made it in music he'd have been a French college lecturer. 🤣
1689	Banihilal	عندما كنت أبلغ من العمر 9 سنوات وينتابني الأرق ولا أستطيع النوم كنت أستمع الى بينك فلويد، بواسطة سمعات الإذن، حيث لم يكن يتوفر حينها سمعات البلو توث 1979 * what a remarkable year, but who can read
1690	Дмитрий Лапин	Это сейчас актуально в бывшем СССР
1691	LMJ	This BASS 🤯🤯🤯🤯
1692	May BeMe	It describes the total insanity we all experience nowadays. Wish people would wake up and fight back..!
1693	Steffen Hildebrandt	Sau stark und Weltklasse super weiterso
1694	paola sita	Ooooo Maravilha de som 😍😍😍vai passar uma vida toda gente mostrando a bunda o peito e o dinheiro atraves de letras sem conteúdo e baixaria....mas nada vai apagar a essência da música de qualidade😉😉😉
1695	Jaime Mobilon	Very Good
1696	Bruniele Pinheiro Tôrres	Esses caras são foda👊❤
1697	remali	This is a masterpiece I don't think it's going to be forgotten ever
1698	NATALY OTALORA PARRA	Con este tema le damos una leccion a los de ahora como es que se hacia musica que vivan los 80 por siempre saludos desde colombia
1699	Laura Barmy	Vô estuda inglês com isso sksksksk
1700	Parikshit Shukla	Man this song is so good with acid. (First time tripper)
1701	Elise Eludut	when I was a teenager, in the music class the teacher showed this. this clip scares me for life because of the head at the beginning
1702	Dariusz Budych	Pink Floyd ok ambitna muza
1703	Detone a Matrix👽	💣💥💣💥
1704	ALEX RIVERA	Fkn classics the beauty never dies...
1705	Concha N	Que pedazo de banda,inigualable!!!!!!!!
1706	holly ass	This is a good reflect of my upbringing
1707	ana saoncella	ir no show e assistir o Roger se posicionar contra o coiso não tem preço!!!
1708	KS CHANEL	Le savoir et la connaissance mènent à la vérité 😀😉
1709	Maite Punti Moreau	🎵🎶🎵🎶🎵
1710	Reyhan Aniz	What goes on in the quiet kids mind during class:
1711	João Xuxu	<3
1712	ADONIS GALANOS	Πιό επίκαιρο από ποτέ....!
1713	markymarkinthehouse	40 years ago and still sounds great Floyd rock forever yer
1714	Yörük...🇹🇷	YIL 2022 OLDU PİNK FLOYD...
1715	Ашот Пердин	Очень сильная песня и клип , цепляет за душу не говоря о том о ком она поется( предназначалась)!
1716	Ana Giulia Gadotti	Just imagine those kids going to the school no the day before making the clip……
1717	fckyourway Records	This makes so much more sense if you watch money before
1718	mrpoopybuthole	I wanna fucking leave college after listening to this
1719	z4Ltty	lo vi a los 7 años y me traume
1720	CarrowMind	To this day those masks are still creepy as fuck, that movie gave me plenty of nightmares as a kid!
1721	Сергей -МИР в оккупации	1980 год. Мир в оккупации!
1722	Алина Науменко	Strange...as a child, it scared me insanely. Now it's almost not scary. A little off topic. I want to ask someone to talk to me in English. I am Russian and I have not been friends with English since childhood. If it is written illiterate, then I'm sorry - I translated the Internet.
1723	Tanker	3:02 “leave em kids alone!”
1724	Buck Knuckles	I'm drawing on 60. I'm embarrassed to admit I'm only now getting the significance. I am passing it on with the hope the grandkids aren't so slow.
1725	Oleg Lepshitsz	я хз, будут ли этот пост просматривать русскоязычные, но сука... сука, есть два мотива. И это один из них... Живи и Процветай, кто тут.
1726	Bloxsy	All in all you're just another brick in the wall.
1727	illimited knowledge	now its time to break the walls, governments leave the children alone!
1728	Pamela Jordan	Play this song to your children..my kids know every word... alternative school ❤️
1729	Commanding Judge, Dredd	Some teachers were and still are, the biggest classroom bullies of all.
1730	Angel loves cats	"my dad quotes ""iF yOu DoNt EaT yOuR mEaT yOu CaN't HaVe AnY pUdDiN"" way too often xD"
1731	Sabra Seraph	We don't need no thought control .
1732	pat fal	Oh !! This video says so much...
1733	Gabriel Maciel	con esta canción me doy cuenta que la izquierda se convirtió en lo que juraba destruir
1734	Woodsy Howell	Should be required listening for the teachers union.
1735	Ivan Peralta	NO GREEN PAAAASS!!!!!!!!!!✊✊✊✊
1736	Alex Emery	Pink Floyd - Another Brick In The Wall (HQ) - YouTube
1737	Emilia Mateus	❤️❤️❤️❤️❤️❤️❤️❤️
1738	AJ Shackleford	4:21 When The Teacher Leaves The Classroom For 0.01 Seconds
1739	Евгений Баранов	Люблю Пинк. Флойд только надо было школьникам заплатить за пол жлобством пахнет
1740	Emilia Mateus	❤️❤️❤️❤️❤️❤️❤️
1741	Zoidberg	Back when music was at its true highest!!
1742	AshTech_	Shoutout to everyone watching this on Thanksgiving Day 2021
1743	S40	Pink Floyd was woke as
1744	Marko Zec	It is scary how this song suits world today........ and song is from 1979. And is much more fitting world today..... in 2021. Then it was in 1979. Then you could say what you wanted.
1745	higher self tarot	🙌
1746	Matthias Otto	Leave US Kids alone!! 🔊🦾🌝👍
1747	Johnny	"""Dead Poet Society"" fits this song so fucking well!"
1748	Jokerr6828	Love Pink Floyd!
1749	VinylPlanes	When Harry Potter ran into the wall
1750	Funny Joker	Привет из 2021 года✋🏻
1751	Probably_Human	Teacher *Leaves room for 20 seconds* The entire class: 4:22
1752	мария родинова	26.11.21 ❤❣❤
1753	Bianca_maciel_12	Quien más en 2021?
1754	Dynamic Dave	I like this version more than that cartoon mv
1755	Mário Antônio Veiga Borges	OOOO MAI GOIDIII
1756	Mr.2xpointless	11 year and watching this
1757	Nikita Dubrovskih	Break the wall.
1758	chance2413	Zeppelin, Floyd, Queen, and the Beatles. Mount Rushmore of Rock IMO
1759	Chris Proctor	The teachers are just bricks as well.
1760	babuchungas	another thing@ 4:45 everyone wanted to do that at one point
1761	lumarians	Who makes the last call in 6 minutes and 61 seconds?
1762	Wsndwg	Sakitttt 🔥🔥
1763	Vella Paraschiv Gal	Da uneori chiar au dreptate
1764	Maurilio Fabricio	"Uma crítica aos modelos de ensino, ao qual o aluno perde sua indentidade como sujeito, e torna-se um mero produto para a sociedade ao final do processo de escolarização. Contudo a educação e a ""docilizaçao dos corpos "" é necessário para que a sociedade não vire um completo caos."
1765	Ramthian Thomson	Classic xxx.
1766	Bradley Edgeston	Yep still in Nov.2021
1767	La La Maison	My english teacher recommended this...so here I am
1768	Inside the Lyrics	Children becoming sausages... Nothing can be more philosophical.
1769	sandrone	Mejo ultimo loro non l'hanno mai vinto Sanremo giovani
1770	Simon John Hinton	glad I was born in the seventies. best music in 70's and 80's, real talent.
1771	The Loner	Pink Floyd >>>> Zeppelin.
1772	Нижний Шмит Очакович	Ничего такого, зажатые англичане и всё.
1773	Pedro Antônio 4	Brasi🇧🇷l
1774	Debra McKnight	I had a teacher preacher who my adopted as mother told me nobody picking you up she was a lie
1775	Antonio Cosme Costa Araujo	Today happy music
1776	Uros Simeunovic	There is a teacher who doesn't like kid writing poems? WHAT? I mean come on! i think teacher is a lonely guy in class(room), of kids not interested in subject. When there is a kid know something about the subject and use his brain. Teacher is most happy person in the world. Cause he is not only person in a room who knows all the stuff. So if you step out of class telling your opinion, on solving some problem. The teacher feels like he is not talking to the walls! He feels like he is talking to equal to himself!
1777	MrTamama10	Así serían las escuelas si Focus gobernase Tortillaland
1778	iris rivera	I'm an ESL Teacher and I'm 56. I thought I could help, but I wish I never became a teacher!!! CAUSE I'M A FREE THINKER THA WENT TO CATHOLIC SCHOOL
1779	Albe Belt	The teacher is Mario Draghi, italian Prime Minister.
1780	veritas3in1	Rick Beato led me (back) here
1781	BlackShadow8712	Я мусульман (нет просто русский))))
1782	Svein Grimstad	This engenious evergreen video, parts of it looks like it could be from a movie, is it? Really a masterpiece! Quality to last for thousands of years.
1783	Guilherme César	Someone in 2021, listening to this massive song by pink band Floyd that moves your heart and Andrenalina and nostalgia...🔥🙌⚡
1784	Linky_chan96	My father loves this song, cos he was a rock guy in the young life.
1785	simon	Day 6 listening to Pink floyd everyday for 1 year.
1786	Edwin Rivera	Dr.Scott McQuate is te Truth! Btw Thanks forthe video(*_*)
1787	sluggotg	"This Album is absolutely one of my favorites ever. Yes I was a Teenager and a very big Pink Floyd fan, so that certainly helped. But it shows how much is lost now days because ""The Album"" concept is no more. There is no cohesive string of songs that compose the bands newest sound. It is one single after another. I understand why it happened, but it is a loss to newer bands and the current generations of younger people."
1788	Alex W	Wie heist der komplette film
1789	Mehrdad Alavi	We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers leave them kids alone Hey! Teachers! Leave them kids alone! All in all it's just another brick in the wall. All in all you're just another brick in the wall. We don't need no education We don't need no thought control No dark sarcasm in the classroom Teachers leave them kids alone Hey! Teachers! Leave them kids alone! All in all it's just another brick in the wall. All in all you're just another brick in the wall.
1790	Jorge luis	I don't need no arms around me And I don't need no drugs to calm me I have seen the writing on the wall Don't think I need anything at all No, don't think I'll need anything at all All in all, it was all just bricks in the wall All in all, you were all just bricks in the wall
1791	Neil Macaulay	Anyone else hate those “LiStEnInG tO tHiS iN 2021 bE lIkE” comments, cause I sure do
1792	Sheldon Montgomery	Rodger waters is genius he did everything on this album might as well been a solo album lol
1793	bigeyesbiglies	My mother is a teacher and she has this song save as ringtone :)
1794	Paolo Sciascia	2:02
1795	Tony A	Back when songs had meaning built into them with class... who could've done it with more style than PF?
1796	Reveral Music	*STILL ON 2021*
1797	Diego Nathaniel Mina	Anyone else came here from polandball?
1798	Marium Khan	"*I don't think even Pink Floyd knew how far their influence and fan base spread in the 70's and 80's.* I mean I'm from Pakistan and my dad raised us with a combination of nasheeds and rock songs lol. I remember being 4 and nodding to his song as dad jammed to it while driving. I would ask him is Pink Floyd a person? And he would reply, ""No baita they are one of the best bands in the world. It's a group of people who sing songs."" I'm so grateful for that childhood haha. I remember screaming it in recess periods in 4th grade, ""Hey teachers! Leave the kids alone."" Parents were called for ""rebellious behaviour"" and my dad laughed his ass off until his face was red ... And bought me a mango ice cream on the way back home. So many memories associated with this band and this song. I just realized this got very long lol."
1799	Lars Großmann	Vielen Dank für die Einladung zum Geburtstag von Frau Müller
1800	pechowiec13	Super muza... kiedy to było... a nie tak dawno... pozdrawiam...
1801	markraptus	I have no words to describe what I feel every time I listen Pink Floyd songs in general. This song is a true masterpice.
1802	Ayame Kajou A.K.A BraveBlueSnow94GPSE	I'm 24 and as a hard-core trauma survivor, this movie speaks to me of my childhood and youth, along with 1984 with John Hurt.
1803	marcio freire	Essa msc é maravilhosa
